room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,last_modified,latitude,longitude,location
14654173,1473,89743027,Shared room,,Dublin,,Dublin city and suburbs,12,4.5,1,1.0,,23.0,,2017-07-22 15:35:06.263634,53.367526,-6.257632,0101000020E6100000BF9CD9AED00719C000378B170BAF4A40
16336306,1473,106934924,Shared room,,Dublin,,Dublin city and suburbs,0,0.0,1,1.0,,27.0,,2017-07-22 15:35:06.261310,53.357722,-6.267211,0101000020E61000009C86A8C29F1119C0A587A1D5C9AD4A40
12965417,1473,29088762,Shared room,,Dublin,,Dublin city and suburbs,17,4.5,1,1.0,,31.0,,2017-07-22 15:35:06.258804,53.351199,-6.273779,0101000020E61000008B53AD85591819C0A7B1BD16F4AC4A40
12076135,1473,3787415,Shared room,,Dublin,,Dublin city and suburbs,34,5.0,1,1.0,,38.0,,2017-07-22 15:35:06.256546,53.346766,-6.262129,0101000020E61000002E55698B6B0C19C0B0AE0AD462AC4A40
4946555,1473,6711430,Shared room,,Dublin,,Dublin city and suburbs,8,4.5,1,1.0,,38.0,,2017-07-22 15:35:06.253620,53.354481,-6.273701,0101000020E6100000AD872F13451819C0D50627A25FAD4A40
13584812,1473,47251894,Shared room,,Dublin,,Dublin city and suburbs,2,0.0,1,1.0,,30.0,,2017-07-22 15:35:06.251311,53.358188,-6.248291,0101000020E61000008690F3FE3FFE18C0EAE8B81AD9AD4A40
13071668,1473,47704400,Shared room,,Dublin,,Dublin city and suburbs,0,0.0,2,1.0,,27.0,,2017-07-22 15:35:06.249096,53.352508,-6.284267,0101000020E6100000005471E3162319C008CA6DFB1EAD4A40
16064506,1473,95335509,Shared room,,Dublin,,Dublin city and suburbs,0,0.0,1,1.0,,14.0,,2017-07-22 15:35:06.245994,53.337379,-6.296335,0101000020E610000001A43671722F19C0B8AD2D3C2FAB4A40
19225825,1473,56802742,Shared room,,Dublin,,Dublin city and suburbs,0,0.0,1,1.0,,27.0,,2017-07-22 15:35:03.503468,53.336314,-6.281526,0101000020E610000011E50B5A482019C0EE974F560CAB4A40
11637826,1473,10735720,Shared room,,Dublin,,Dublin city and suburbs,25,5.0,1,1.0,,23.0,,2017-07-22 15:35:03.500300,53.361678,-6.257851,0101000020E6100000ADF6B0170A0819C062D7F6764BAE4A40
12424484,1473,60878455,Shared room,,Dublin,,Dublin city and suburbs,2,0.0,2,1.0,,24.0,,2017-07-22 15:35:03.497496,53.294478,-6.141978,0101000020E610000086014BAE629118C01CB28174B1A54A40
18976419,1473,132368827,Shared room,,Dublin,,Dublin city and suburbs,0,0.0,1,1.0,,36.0,,2017-07-22 15:35:03.494911,53.353173,-6.259826,0101000020E61000001C9AB2D30F0A19C0446ADAC534AD4A40
18350207,1473,23025346,Shared room,,Dublin,,Dublin city and suburbs,7,5.0,2,1.0,,35.0,,2017-07-22 15:35:03.491974,53.397848,-6.157256,0101000020E61000002C6684B707A118C0B763EAAEECB24A40
4819815,1473,22192878,Shared room,,Dublin,,Dublin city and suburbs,10,4.5,2,1.0,,36.0,,2017-07-22 15:35:03.489005,53.38098,-6.216785,0101000020E6100000AE0D15E3FCDD18C00D37E0F3C3B04A40
13993624,1473,25892759,Shared room,,Dublin,,Dublin city and suburbs,19,4.0,1,1.0,,36.0,,2017-07-22 15:35:03.479003,53.350218,-6.271579,0101000020E61000001D1F2DCE181619C03A3C84F1D3AC4A40
16436472,1473,107775468,Shared room,,Dublin,,Dublin city and suburbs,0,0.0,1,1.0,,39.0,,2017-07-22 15:35:03.469042,53.350822,-6.279773,0101000020E6100000193735D07C1E19C0D15B3CBCE7AC4A40
14118147,1473,57792879,Shared room,,Dublin,,Dublin city and suburbs,1,0.0,1,1.0,,24.0,,2017-07-22 15:35:03.465324,53.28966,-6.202531,0101000020E610000067B4554964CF18C0CC7A319413A54A40
16391221,1473,67165732,Shared room,,Dublin,,Dublin city and suburbs,0,0.0,1,1.0,,27.0,,2017-07-22 15:35:03.461507,53.358991,-6.259665,0101000020E6100000D2A92B9FE50919C07847C66AF3AD4A40
16892665,1473,32030815,Shared room,,Dublin,,Dublin city and suburbs,7,4.5,1,1.0,,34.0,,2017-07-22 15:35:03.456480,53.341547,-6.255787,0101000020E6100000C2F7FE06ED0519C00186E5CFB7AB4A40
19295720,1473,124895830,Shared room,,Dublin,,Dublin city and suburbs,0,0.0,1,1.0,,25.0,,2017-07-22 15:35:03.454287,53.352612,-6.274765,0101000020E61000007E5704FF5B1919C0AD16D86322AD4A40
13969739,1473,25215165,Shared room,,Dublin,,Dublin city and suburbs,11,5.0,1,1.0,,24.0,,2017-07-22 15:35:03.451803,53.355477,-6.257361,0101000020E61000003D1059A4890719C077BD344580AD4A40
13002451,1473,62777287,Shared room,,Dublin,,Dublin city and suburbs,9,4.5,6,1.0,,22.0,,2017-07-22 15:35:03.448644,53.407872,-6.288592,0101000020E6100000878C47A9842719C0207A522635B44A40
18886421,1473,95703483,Shared room,,Dublin,,Dublin city and suburbs,2,0.0,1,1.0,,38.0,,2017-07-22 15:35:03.446302,53.356001,-6.245838,0101000020E6100000C974E8F4BCFB18C0F12BD67091AD4A40
5021567,1473,25909089,Shared room,,Dublin,,Dublin city and suburbs,8,4.0,1,1.0,,30.0,,2017-07-22 15:35:03.442732,53.352853,-6.242367,0101000020E6100000BE840A0E2FF818C0D3A57F492AAD4A40
9486894,1473,37209255,Shared room,,Dublin,,Dublin city and suburbs,0,0.0,1,1.0,,24.0,,2017-07-22 15:35:03.439784,53.331048,-6.274984,0101000020E61000006CB1DB67951919C0FFB3E6C75FAA4A40
14252202,1473,40814004,Shared room,,Dublin,,Dublin city and suburbs,10,5.0,1,1.0,,24.0,,2017-07-22 15:35:01.525318,53.377607,-6.236128,0101000020E6100000F7ADD689CBF118C0CEDE196D55B04A40
13881981,1473,20565709,Shared room,,Dublin,,Dublin city and suburbs,7,4.0,1,1.0,,25.0,,2017-07-22 15:35:01.521447,53.332255,-6.29097,0101000020E6100000EE77280AF42919C05C77F35487AA4A40
12887087,1473,70532746,Shared room,,Dublin,,Dublin city and suburbs,0,0.0,1,1.0,,36.0,,2017-07-22 15:35:01.511242,53.303618,-6.234473,0101000020E6100000172EABB019F018C00C3D62F4DCA64A40
19108685,1473,133511515,Shared room,,Dublin,,Dublin city and suburbs,4,5.0,1,1.0,,30.0,,2017-07-22 15:35:01.508728,53.359228,-6.258281,0101000020E610000074B680D07A0819C05CE7DF2EFBAD4A40
15724794,1473,27953393,Shared room,,Dublin,,Dublin city and suburbs,6,4.5,2,1.0,,36.0,,2017-07-22 15:35:01.505677,53.376676,-6.318276,0101000020E61000002368CC24EA4519C014984EEB36B04A40
15112620,1473,50271092,Shared room,,Dublin,,Dublin city and suburbs,16,4.5,3,1.0,,24.0,,2017-07-22 15:35:01.502606,53.332331,-6.290918,0101000020E61000005A457F68E62919C037397CD289AA4A40
15761582,1473,74793173,Shared room,,Dublin,,Dublin city and suburbs,0,0.0,2,1.0,,28.0,,2017-07-22 15:35:01.499833,53.308154,-6.248934,0101000020E61000002A73F38DE8FE18C0D8101C9771A74A40
19424903,1473,127557246,Shared room,,Dublin,,Dublin city and suburbs,0,0.0,1,1.0,,16.0,,2017-07-22 15:35:01.497421,53.339666,-6.280299,0101000020E6100000F16778B3061F19C015C8EC2C7AAB4A40
18809995,1473,10362661,Shared room,,Dublin,,Dublin city and suburbs,3,5.0,1,1.0,,28.0,,2017-07-22 15:35:01.494964,53.342415,-6.326002,0101000020E6100000EDB8E177D34D19C076543541D4AB4A40
